player,fantasyPts
Juwan Johnson,110.1
Harrison Bryant,2.7
Ross Dwelley,0
Pharaoh Brown,0
Johnny Mundt,15.3
Robert Tonyan,1.1
Taysom Hill,16
Mo Alie-Cox,9
Eric Saubert,2.2
George Kittle,81.8
Evan Engram,64.7
Tyler Higbee,51
Nick Vannett,0
Austin Hooper,36.4
Hunter Henry,100.2
Darren Waller,45.7
Travis Kelce,137.1
Zach Ertz,101.7
Marcedes Lewis,0
