Rank,Player,Team,FantasyPts
324,Jaxson Dart,NYG,54.9
325,Greg Dortch,ARZ,54.4
326,Jermaine Burton,CIN,52.6
327,JuJu Smith-Schuster,KC,51.1
328,Demarcus Robinson,SF,50.6
329,Elijah Moore,BUF,50.3
330,Tommy Tremble,CAR,50
331,Ben Sinnott,WAS,49.2
332,Allen Lazard,NYJ,48.2
333,Josh Oliver,MIN,48
334,Kalif Raymond,DET,47.7
335,Luke Schoonmaker,DAL,47.3
336,Jerome Ford,CLV,47.2
337,Tanner Hudson,CIN,47.2
338,Keaton Mitchell,BLT,47
339,Cade Stover,HST,46.9
340,DJ Giddens,IND,46.4
341,Harold Fannin Jr,CLV,46.2
342,Josh Whyle,TEN,45.5
343,Elijah Higgins,ARZ,45.2
344,Jaylin Lane,WAS,44.1
345,Trevor Etienne,CAR,43.8
346,Grant Calcaterra,PHI,43.7
347,Cole Kmet,CHI,43.2
348,Darnell Washington,PIT,42.7
349,Drew Sample,CIN,42.1
350,Isaac TeSlaa,DET,41.5
351,Luke Musgrave,GB,40.5
352,Jaylin Noel,HST,40
353,Ben Skowronek,PIT,39.8
354,Tory Horton,SEA,39.6
355,Jake Bobo,SEA,39
356,Mason Rudolph,PIT,38.5
357,Dont'e Thornton Jr,LV,38.3
358,Jalin Hyatt,NYG,37.9
359,Kyle Juszczyk,SF,37.8
360,Jarquez Hunter,LA,37.8
361,John Metchie III,HST,37.7
362,Jimmy Garoppolo,LA,36.1
363,Joe Milton III,DAL,35.3
364,Treylon Burks,TEN,35.1
365,Joe Flacco,CLV,34.7
366,Gardner Minshew,KC,34.3
367,Savion Williams,GB,34
368,Adam Trautman,DEN,33.2
369,Will Shipley,PHI,33.1
370,Zay Jones,ARZ,32.9
371,Gunnar Helm,TEN,32.8
372,Sterling Shepard,TB,32.3
373,Colby Parkinson,LA,32.3
374,Jalen Milroe,SEA,32.2
375,Jake Browning,CIN,32
376,Elic Ayomanor,TEN,31.7
377,AJ Barner,SEA,31.6
378,Jameis Winston,NYG,31
379,Julian Hill,MIA,30.8
380,Aidan O'Connell,LV,30.5
381,Mac Jones,SF,30.2
382,Marcus Mariota,WAS,29.7
383,Zach Wilson,MIA,29.7
384,Daniel Bellinger,NYG,29.4
385,Julius Chestnut,TEN,28.6
386,Kenneth Gainwell,PIT,28.4
387,Mitch Trubisky,BUF,28.3
388,Luke McCaffrey,WAS,28.2
389,Ja'Lynn Polk,NE,28.1
390,Hendon Hooker,DET,28
391,Simi Fehoko,ARZ,27.9
392,Stone Smartt,NYJ,27.9
393,Cooper Rush,BLT,27.8
394,Jonathan Mingo,DAL,27.8
395,Sam Howell,MIN,27.6
396,Charlie Woerner,ATL,27.6
397,Jordan James,SF,27.5
398,Jacoby Brissett,ARZ,27.2
399,Johnny Wilson,PHI,27
400,Jamari Thrash,CLV,27
401,Tanner McKee,PHI,26.9
402,Jeremy McNichols,WAS,26.6
403,Alec Ingold,MIA,26.6
404,Oronde Gadsden II,LAC,26.6
405,Davis Mills,HST,26
406,Sincere McCormick,LV,25.9
407,Kirk Cousins,ATL,25.7
408,Spencer Rattler,NO,25.7
409,Nick Mullens,JAX,25.5
410,Cordarrelle Patterson,PIT,25.5
411,Audric Estime,DEN,25.5
412,Antonio Gibson,NE,25.1
413,Brock Wright,DET,25
414,KeAndre Lambert-Smith,LAC,24.9
415,Will Levis,TEN,24.7
416,Charlie Kolar,BLT,24.4
417,Tyler Johnson,NYJ,24.2
418,Kylen Granson,PHI,24.1
419,Tyrod Taylor,NYJ,23.8
420,Malik Willis,GB,23.6
421,Andy Dalton,CAR,23
422,Pharaoh Brown,MIA,22.4
423,Bub Means,NO,22.2
424,Taylor Heinicke,LAC,22.1
425,John Bates,WAS,22.1
426,Jarrett Stidham,DEN,21.9
427,Joshua Dobbs,NE,21.5
428,Payne Durham,TB,21.5
429,Kyle Trask,TB,21.4
430,Sean Tucker,TB,21.3
431,Jeremy Ruckert,NYJ,21.2
432,Case Keenum,CHI,20.9
433,Parris Campbell,DAL,20.8
434,Mo Alie-Cox,IND,20.5
435,Brevyn Spann-Ford,DAL,20.5
436,Olamide Zaccheaus,CHI,20.1
437,Tylan Wallace,BLT,20.1
438,Jared Wiley,KC,19.5
439,Harrison Bryant,PHI,19.3
440,Austin Trammell,JAX,19.1
441,Ihmir Smith-Marsette,NYG,19.1
442,Connor Heyward,PIT,19.1
443,Carlos Washington Jr,ATL,19
444,Zach Pascal,NYG,19
445,Craig Reynolds,DET,18.8
446,Kimani Vidal,LAC,18.7
447,Luke Farrell,SF,18.4
448,DeAndre Carter,CLV,18.3
449,Derius Davis,LAC,18.2
450,Kyle Monangai,CHI,17.5
451,Kayshon Boutte,NE,17.5
452,David Moore,CAR,17
453,Johnny Mundt,JAX,16.8
454,Charlie Jones,CIN,16.2
455,Nate Adkins,DEN,16.2
456,Jacob Cowing,SF,16
457,Jackson Hawes,BUF,15.8
458,Ian Thomas,LV,15.7
459,Xavier Gipson,NYJ,15.6
460,Konata Mumpfield,LA,15.4
461,Ty Chandler,MIN,15.3
462,Devin Neal,NO,14.9
463,Xavier Smith,LA,14.9
464,Dillon Gabriel,CLV,14.5
465,Shedeur Sanders,CLV,14.5
466,Kenny McIntosh,SEA,14.5
467,Chris Rodriguez,WAS,13.5
468,Hunter Luepke,DAL,13.1
469,Rondale Moore,MIN,12.9
470,Durham Smythe,CHI,12.9
471,Khalil Herbert,IND,12.7
472,Chris Brooks,GB,12.7
473,Ashton Dulin,IND,12.6
474,Tip Reiman,ARZ,12.6
475,Ainias Smith,PHI,11.9
476,Andrew Ogletree,IND,11.3
477,Kalel Mullings,TEN,10.9
478,Shane Zylstra,DET,10.7
479,Hunter Long,JAX,10.5
480,Carson Steele,KC,10.3
481,Jalen Brooks,DAL,10.3
482,Tommy Mellott,LV,10.3
483,Davis Allen,LA,10.3
484,D'Wayne Eskridge,MIA,10.2
485,Cedrick Wilson Jr,NO,10.2
486,Jordan Watkins,SF,10.2
487,Brandon Johnson,PIT,10
488,Brevin Jordan,HST,9.9
489,Scott Miller,PIT,9.8
490,Laviska Shenault Jr,BUF,9.8
491,Lucas Krull,DEN,9.8
492,Gavin Bartholomew,MIN,9.8
493,Cody White,SEA,9.7
494,Steven Sims,SEA,9.6
495,Michael Burton,DEN,9.5
496,CJ Ham,MIN,9.5
497,Trent Sherfield,DEN,9.4
498,LaJohntay Wester,BLT,9.4
499,Devontez Walker,BLT,9.3
500,Dare Ogunbowale,HST,9.2
501,Clyde Edwards-Helaire,NO,9.2
502,KhaDarel Hodge,ATL,9.2
503,Chris Manhertz,NYG,9
504,Jack Stoll,NO,8.8
