player_name,team,position,adp,min_draft_position,max_draft_position,bye_week,is_bye_week5,is_bye_week6,is_bye_week7,is_bye_week8,is_bye_week9,is_bye_week10,is_bye_week11,is_bye_week12,is_bye_week14,is_qb_eligible,is_rb_eligible,is_wr_eligible,is_te_eligible,is_flex_eligible,pff_ppr_projected_points,numberfire_ppr_projected_points,rotoballer_ppr_projected_points,athletic_ppr_projected_points,athletic_half_projected_points,athletic_std_projected_points,week11_actual_ppr_points
Tyler Warren,IND,TE,85.43,68,104,11,0,0,0,0,0,0,1,0,0,0,0,0,1,1,151.4,145.6,159,143.5788572,116.3032384,89.02761965,136.3
Kaleb Johnson,PIT,RB,86.55,66,109,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,155.3,136.7,162,153.9210192,147.2291496,140.53728,7.7
Jordan Mason,MIN,RB,87.26,61,103,6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,126,141.9,136,144.6724727,136.5921378,128.511803,95.3
Jauan Jennings,SF,WR,87.65,70,114,14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,189.8,231,190,189.0087165,155.0631855,121.1176545,87.8
Khalil Shakir,BUF,WR,89.76,74,118,7,0,0,1,0,0,0,0,0,0,0,0,1,0,1,193.8,176.5,185,181.3708286,146.8503054,112.3297823,128.9
Baker Mayfield,TB,QB,90.99,55,126,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,297,320.8,317,332.2843477,332.2843477,332.2843477,185.3
Travis Etienne Jr,JAX,RB,91.63,72,119,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,158.8,177.9,148,164.6816198,149.4837816,134.2859433,142.9
JK Dobbins,DEN,RB,91.64,71,117,12,0,0,0,0,0,0,0,1,0,0,1,0,0,1,108.8,152,146.7802922,179.5408765,159.9420431,140.3432097,115.9
Michael Pittman Jr,IND,WR,93.05,62,112,11,0,0,0,0,0,0,1,0,0,0,0,1,0,1,170.1,191.8,194,165.994425,133.8747607,101.7550964,148
Keon Coleman,BUF,WR,93.39,72,110,7,0,0,1,0,0,0,0,0,0,0,0,1,0,1,173.4,185.4,164,174.7580635,144.4391767,114.1202899,83
Cooper Kupp,SEA,WR,93.71,69,113,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,176.8,202.7,194,225.4161428,183.2191861,141.0222294,74
Dak Prescott,DAL,QB,93.97,60,134,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,276.1,282.7955262,268,304.2865787,304.2865787,304.2865787,199.2
Bo Nix,DEN,QB,94.2,68,129,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,279.9,314.9,296,306.6460715,306.6460715,306.6460715,200.1
Josh Downs,IND,WR,94.82,74,117,11,0,0,0,0,0,0,1,0,0,0,0,1,0,1,181.4,161.7,175,178.7888149,145.947372,113.1059292,85.6
